%Wvl [um]	ncore	nclad	neff0te.re	neff0te.im	neff0tm.re	neff0tm.im	alfate[dB/cm]	alfatm[dB/cm]	Gamma_wg	 Gamma_Trench
1.5	1.983955556	1.445781614	1.585350931	-1.345140641e-013	1.51253819	-6.348251715e-010	4.736201503e-008	0.0002235201169	0.5117794989	0.9979861228
1.51	1.983861094	1.445748506	1.583060856	-4.809562871e-013	1.5108693	-4.24045518e-010	1.693433253e-007	0.0001493052071	0.5067211505	0.9978570548
1.52	1.98376849	1.445716082	1.580793763	-1.081842553e-012	1.509232249	2.835892286e-011	3.809136509e-007	9.985095165e-006	0.5016664248	0.9977162893
1.53	1.983677697	1.445684325	1.578549665	-2.067288052e-012	1.50762649	8.265347966e-010	7.278861767e-007	0.0002910205244	0.4966160227	0.9975631
1.54	1.983588666	1.445653218	1.576328572	-3.617142632e-012	1.50605148	2.091558049e-009	1.273585516e-006	0.0007364315728	0.491570656	0.9973967314
1.55	1.983501353	1.445622742	1.574130486	-5.973676001e-012	1.504506679	3.953549311e-009	2.103314137e-006	0.00139203334	0.4865310465	0.9972163992
1.56	1.983415713	1.445592884	1.571955409	-9.454763564e-012	1.502991551	6.5375478e-009	3.328995055e-006	0.002301851776	0.4814979262	0.9970212898
1.57	1.983331705	1.445563626	1.569803337	-1.446601968e-011	1.501505562	9.941673803e-009	5.093443919e-006	0.00350043475	0.4764720364	0.9968105608
1.58	1.983249287	1.445534954	1.56767426	-2.150936698e-011	1.500048184	1.42064766e-008	7.573386242e-006	0.005002059548	0.4714541277	0.9965833411
1.59	1.983168419	1.445506852	1.565568167	-3.118427087e-011	1.498618892	1.927509141e-008	1.097989207e-005	0.006786704244	0.4664449591	0.9963387315
1.6	1.983089062	1.445479308	1.563485038	-4.417627889e-011	1.497217168	2.494498247e-008	1.555434073e-005	0.008783056574	0.4614452979	0.996075805
