%Wvl [um]	ncore	nclad	neff0te.re	neff0te.im	neff0tm.re	neff0tm.im	alfate[dB/cm]	alfatm[dB/cm]	Gamma_wg	 Gamma_Trench
1.5	1.983955556	1.445781614	1.555168347	5.129273796e-005	1.468368528	6.692089047e-005	18.06002549	23.56265304	0.5353072516	0.9977090024
1.51	1.983861094	1.445748506	1.552501727	4.648412172e-005	1.46664373	5.957829635e-005	16.36692555	20.97734677	0.5300561673	0.9975377587
1.52	1.98376849	1.445716082	1.549858433	4.203733123e-005	1.464964439	5.293396753e-005	14.80122341	18.63789771	0.5247882039	0.9973480126
1.53	1.983677697	1.445684325	1.547238609	3.796805113e-005	1.463330324	4.698201307e-005	13.36844159	16.54223166	0.5195033275	0.9971381546
1.54	1.983588666	1.445653218	1.544642398	3.429172945e-005	1.461741041	4.170141708e-005	12.0740193	14.682949	0.5142014883	0.9969064499
1.55	1.983501353	1.445622742	1.542069945	3.102354323e-005	1.460196233	3.705100646e-005	10.92330033	13.0455528	0.5088826201	0.9966510307
1.56	1.983415713	1.445592884	1.539521392	2.817836279e-005	1.458695541	3.296915637e-005	9.921520485	11.60834513	0.5035466383	0.9963698864
1.57	1.983331705	1.445563626	1.536996882	2.577071433e-005	1.457238615	2.93829409e-005	9.073794389	10.34564897	0.4981934382	0.9960608542
1.58	1.983249287	1.445534954	1.534496558	2.381474091e-005	1.455825117	2.623039561e-005	8.385101774	9.235646843	0.4928228942	0.9957216087
1.59	1.983168419	1.445506852	1.532020563	2.232416165e-005	1.454454722	2.349519153e-005	7.860273102	8.272589354	0.4874348574	0.995349651
1.6	1.983089062	1.445479308	1.529569039	2.13122291e-005	1.453127077	2.124504744e-005	7.503974564	7.480320095	0.4820291543	0.994942297
